state,population,incidence,deaths,lat,lon
Alabama,4.802982,472.9,195.4,32.3182314,-86.902298
Alaska,0.721523,451.4,185.9,64.2008413,-149.4936733
Arizona,6.4127,387.1,147.1,34.0489281,-111.0937311
Arkansas,2.926229,426.7,197,35.20105,-91.8318334
California,37.341989,434,159,36.778261,-119.4179324
Colorado,5.04493,430,151.8,39.5500507,-105.7820674
Connecticut,3.581628,509.1,167.3,41.6032207,-73.087749
Delaware,0.900877,502.6,177.2,38.9108325,-75.5276699
Florida,18.900773,439.5,165.1,27.6648274,-81.5157535
Georgia,9.727566,461.4,173.4,32.1574351,-82.907123
Hawaii,1.366862,453.3,144.1,19.8967662,-155.5827818
Idaho,1.573499,452.3,159.5,44.0682019,-114.7420408
Illinois,12.86438,479.3,181.4,40.6331249,-89.3985283
Indiana,6.501582,443.9,190.7,40.2671941,-86.1349019
Iowa,3.053787,493.4,171.6,41.8780025,-93.097702
Kansas,2.863813,464.5,173.4,39.011902,-98.4842465
Kentucky,4.350606,508.7,204.2,37.8393332,-84.2700179
Louisiana,4.553962,493.8,196.9,31.2448234,-92.1450245
Maine,1.333074,494.1,187.1,45.253783,-69.4454689
Maryland,5.789929,437.6,178.1,39.0457549,-76.6412712
Massachusetts,6.559644,476.3,174.6,42.4072107,-71.3824374
Michigan,9.911626,471.2,182.4,43.58039086,-84.7265625
Minnesota,5.314879,475.9,169.2,46.729553,-94.6858998
Mississippi,2.97824,475.7,198.8,32.3546679,-89.3985283
Missouri,6.011478,461.3,185.3,37.9642529,-91.8318334
Montana,0.994416,462.6,164.4,46.8796822,-110.3625658
Nebraska,1.831825,444.2,167.3,41.4925374,-99.9018131
Nevada,2.709432,459.6,176.7,38.8026097,-116.419389
New Hampshire,1.321445,482.4,170.2,43.1938516,-71.5723953
New Jersey,8.807501,488.8,169.7,40.0583238,-74.4056612
New Mexico,2.067273,410.7,149.9,34.5199402,-105.8700901
New York,19.421055,493.9,161.9,42.69858589,-75.73974609
North Carolina,9.565781,480.1,178.2,35.7595731,-79.0192997
North Dakota,0.675905,462.3,159.6,47.5514926,-101.0020119
Ohio,11.568495,448.1,190.4,40.4172871,-82.907123
Oklahoma,3.764882,466.3,190.1,35.0077519,-97.092877
Oregon,3.848606,449.1,173.4,43.8041334,-120.5542012
Pennsylvania,12.734905,497.3,181.8,40.68063803,-77.6953125
Rhode Island,1.055247,497.4,174.5,41.5800945,-71.4774291
South Carolina,4.645975,428.7,179.4,33.836081,-81.1637245
South Dakota,0.819761,415.3,156,44.15068116,-100.2832031
Tennessee,6.375431,477.7,196,35.5174913,-86.5804473
Texas,25.268418,434.7,164.1,31.9685988,-99.9018131
Utah,2.770765,391.1,120.7,39.3209801,-111.0937311
Vermont,0.630337,480.8,168.6,44.5588028,-72.5778415
Virginia,8.037736,434.7,176.6,37.4315734,-78.6568942
Washington,6.753369,483.5,175,46.95026224,-120.3662109
West Virginia,1.859815,470.9,207.3,38.5976262,-80.4549026
Wyoming,0.5683,436.5,167.4,43.0759678,-107.2902839